mirror_name,position_x,position_y,position_z,u,v
M2,42.93301990206628,7.233987470721386,25.0,1.7297622053967645,0.0
M3,38.05207911544021,32.1313425212794,25.0,-2.1131598280466624,0.0
M1,0.0,21.773967188185733,25.0,1.7739671881857326,0.0
M2,45.293675134316715,9.445505656343286,25.0,-1.5049720666706872,0.0
M3,41.06232144110255,30.26193614474182,25.0,1.430318556231754,0.0
M1,0.0,19.391169051128276,25.0,-0.6088309488717236,0.0
M2,43.59147029271038,7.850839518129895,25.0,0.8275076042273137,0.0
M3,38.93949791311859,31.580241918880468,25.0,-1.0685431536452732,0.0
M1,0.0,20.981320531566908,25.0,0.981320531566908,0.0
M2,44.638060655399116,8.831310358751645,25.0,-0.6066034293340541,0.0
M3,40.16910560192292,30.816636798291157,25.0,0.37887794906013506,0.0
M1,0.0,20.182338102256537,25.0,0.18233810225653713,0.0
M2,44.24992068335449,8.46769156553839,25.0,-0.07474699694212732,0.0
M3,39.82691671079697,31.029141316481535,25.0,-0.023926479243889805,0.0
M1,0.0,20.188673874948087,25.0,0.18867387494808696,0.0
M2,43.9824461764815,8.217115061160012,25.0,0.29176520800258443,0.0
M3,39.27588976274328,31.37133745184049,25.0,-0.6725626581114938,0.0
M1,0.0,20.9735071533848,25.0,0.9735071533848014,0.0
M2,44.90837107399858,9.08454361294689,25.0,-0.9770015981115616,0.0
M3,40.714335508475344,30.478040714082617,25.0,1.02069019515748,0.0
M1,0.0,19.39602721832928,25.0,-0.6039727816707199,0.0
M2,43.326831697563904,7.602919763568387,25.0,1.1901338453392065,0.0
