mirror_name,position_x,position_y,position_z,u,v
M2,40.08345225443675,6.742493714212367,25.0,0.6156019191283693,0.0
M3,34.03882364427327,32.37193216273855,25.0,-1.106475246182383,0.0
M1,0.0,21.378195942876673,25.0,1.3781959428766726,0.0
M2,41.42007134732255,8.00049102101655,25.0,-1.2199110400722546,0.0
M3,35.33838415829831,31.639215679669203,25.0,0.38541314581433067,0.0
M1,0.0,21.009073684574524,25.0,1.009073684574524,0.0
M2,41.86211070907285,8.416529015343487,25.0,-1.8269418548256704,0.0
M3,36.54564271830979,30.958540761725416,25.0,1.77133939732946,0.0
M1,0.0,19.155161178776495,25.0,-0.8448388212235045,0.0
M2,39.66155695362149,6.345414879259433,25.0,1.1949698902983128,0.0
