mirror_name,position_x,position_y,position_z,u,v
M2,38.21094132277559,5.78495831924641,25.0,2.193669725927803,0.0
M3,38.44484555749233,33.985923986896125,25.0,-1.9039509167689443,0.0
M1,0.0,20.732209559077194,25.0,0.7322095590771944,0.0
M2,39.89374160092203,6.97899372562779,25.0,0.13028965240230858,0.0
M3,40.0126000520642,32.858262177584294,25.0,0.027234033315003334,0.0
M1,0.0,19.22955690613009,25.0,-0.7704430938699112,0.0
M2,38.619979641836856,6.075192544821787,25.0,1.6921238634627582,0.0
M3,38.849065090550646,33.69517506441754,25.0,-1.4060268594787368,0.0
M1,0.0,20.302107488481795,25.0,0.3021074884817949,0.0
M2,39.48579079253661,6.689531146140565,25.0,0.6305020542734653,0.0
M3,39.60731755390289,33.14977567458997,25.0,-0.4719994013148817,0.0
M1,0.0,19.65911381226019,25.0,-0.34088618773980883,0.0
M2,39.02901796089812,6.36542677039718,25.0,1.1905780009977043,0.0
