mirror_name,position_x,position_y,position_z,u,v
M2,40.224749788819096,4.447048152042322,25.0,2.013756096825751,0.0
M3,34.14659673138437,34.722284883735966,25.0,-1.8344146822622602,0.0
M1,0.0,22.178793560619795,25.0,2.178793560619795,0.0
M2,42.62316932844376,6.521498081341441,25.0,-1.1573255478536313,0.0
M3,37.027412321354674,33.109690105856295,25.0,1.467033542541627,0.0
M1,0.0,19.89760876556164,25.0,-0.10239123443836107,0.0
M2,41.123145846972356,5.224092204814804,25.0,0.8259375343952765,0.0
M3,35.334491764940246,34.05733661892838,25.0,-0.47307313598618594,0.0
M1,0.0,21.07748113444658,25.0,1.077481134446579,0.0
M2,41.729439918323486,5.748490323104678,25.0,0.02432298398997803,0.0
M3,35.82991966624278,33.780010833398116,25.0,0.09469301015940164,0.0
M1,0.0,20.995217531123316,25.0,0.9952175311233162,0.0
M2,42.02154190512566,6.001136257587307,25.0,-0.3618810280352441,0.0
M3,36.522386798496164,33.39238835412077,25.0,0.8882684102899393,0.0
M1,0.0,19.976168708273317,25.0,-0.02383129172668319,0.0
M2,40.835710508203206,4.97548256486788,25.0,1.2059715158336148,0.0
