mirror_name,position_x,position_y,position_z,u,v
M2,44.081105597312074,5.221150088923515,25.0,0.22017525532213006,0.0
M3,40.70659284716407,31.682770870239445,25.0,0.8532671072963358,0.0
M1,0.0,19.3026989658308,25.0,-0.6973010341692003,0.0
M2,44.67057985046967,5.7170620485673975,25.0,-0.550154912108396,0.0
M3,41.51879354831627,31.15716841247007,25.0,1.8207007859355135,0.0
M1,0.0,18.36761927475665,25.0,-1.632380725243351,0.0
M2,43.704900172082674,4.904656588732761,25.0,0.7118038322326155,0.0
M3,40.25255708214679,31.976592721993256,25.0,0.3124531314387713,0.0
M1,0.0,19.734606445118985,25.0,-0.26539355488101535,0.0
M2,45.04765732019235,6.034289180958783,25.0,-1.0429230844751989,0.0
M3,41.971464751545874,30.864229614656455,25.0,2.359889396254598,0.0
M1,0.0,17.935238549513336,25.0,-2.064761450486664,0.0
M2,43.3286947468533,4.588163088542032,25.0,1.203432409143063,0.0
